Albañilería;;;;
;8092;Sustitución de diferencial hasta 4x40A 30 mA  - 1ª unidad;204,87;;
;8093;Sustitución de diferencial hasta 4x40A 30 mA  - ud. adicional;161,53;;
;8094;Sustitución de diferencial hasta 4x63A 30 mA  - 1ª unidad;397,65;;
;8095;Sustitución de diferencial hasta 4x63A 30 mA  - ud. adicional;298,37;;
;8096;Reposición diferencial 4p hasta 40A 30mA superinmunizado;243,15;;
;8097;Reposición diferencial 4p hasta 40A 30mA superinmunizado - unidad adicional;223,61;;
;8120;Cambio de líneas hasta 2,5 mm por ml (incluye conexionado y clemas);3,99;;
;8121;Cambio de líneas hasta 4 mm por ml (incluye conexionado y clemas);5,10;;
;8122;Cambio de líneas hasta 6 mm por ml (incluye conexionado y clemas);6,72;;
;8123;Cambio de líneas 10 mm por ml(incluye conexionado y clemas);8,40;;
;8124;Cambio de líneas 16 mm por ml (incluye conexionado y clemas);9,14;;
;8125;Cambio de líneas 25 mm por ml (incluye conexionado y clemas);9,93;;
;8126;Ml.Suministro e instalación de tubo tipo artiglas o similar para paramentos (no incluye rozas) hasta 25 mm;3,89;;
;8140;Suministro e instalación de caja de registro hasta 100x200 o mecanismo (hasta juego de 3Ud);8,72;;
;8141;Sustitución de interruptor, pulsador, enchufe (gama media) - 1ª unidad;35,72;;
;8142;Sustitución de interruptor, pulsador, enchufe (gama media) - ud. adicional;13,13;;
;8143;Sustitución de punto de luz simple con mecanismo de gama media - 1ª unidad;37,82;;
;8144;Sustitución de punto de luz simple con mecanismo de gama media - ud. adicional;15,60;;
;8145;Sustitución de llave combinada o de cruce - 1ª unidad;37,19;;
;8146;Sustitución de llave combinada o de cruce - ud. adicional;15,60;;
;8147;Sustitución de focos, halógenos o LED (mano de obra y material) - 1ª unidad;37,56;;
;8148;Sustitución de focos, halógenos o LED (mano de obra y material) - adicional - ud. adicional;32,73;;
;8149;Sustitución de downlight - 1ª unidad;64,30;;
;8150;Sustitución de downlight - ud. adicional;48,22;;
